topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
221,330,0.20703903,0.039915167,0.6151515
222,292,0.24256685,0.04024158,0.55479455
223,94,0.2174451,0.03372056,0.61702126
224,267,0.36956322,0.123270266,0.2059925
225,240,0.28568852,0.0711593,0.37916666
226,267,0.27106786,0.05961816,0.4456929
227,203,0.24485049,0.046932694,0.55172414
228,226,0.4468987,0.20500645,0.123893805
229,155,0.2709706,0.06880304,0.4064516
230,358,0.27512178,0.0786642,0.34078214
231,308,0.3441686,0.12253451,0.20779221
232,301,0.26718292,0.0811596,0.26578072
233,117,0.21503972,0.032587666,0.6581197
234,176,0.23653118,0.046815507,0.51704544
235,255,0.3074461,0.06402798,0.44313726
236,192,0.2608367,0.052430548,0.47916666
237,246,0.24709499,0.03972664,0.5691057
238,80,0.22329065,0.03618931,0.6375
239,67,0.24971405,0.07327521,0.37313432
240,251,0.3452771,0.16171324,0.17928287
241,285,0.24935947,0.05259423,0.46666667
242,383,0.23061134,0.05312834,0.46214098
243,297,0.19295019,0.0356022,0.6632997
244,166,0.19360936,0.024548471,0.7710843
245,229,0.23942678,0.033659283,0.6375546
246,232,0.25743353,0.051215127,0.49568966
247,256,0.2977371,0.08411115,0.30859375
248,316,0.29838026,0.09180628,0.3386076
249,392,0.24665284,0.050154794,0.5
250,186,0.24593312,0.036912546,0.56989247
251,211,0.2742625,0.03785792,0.5971564
252,84,0.19525495,0.028905824,0.6904762
253,367,0.24249583,0.051203236,0.47956404
254,326,0.3169595,0.1106656,0.2607362
255,234,0.26999837,0.052600577,0.47863248
256,310,0.30893382,0.06706364,0.4
257,227,0.21599443,0.03693813,0.6343612
258,312,0.24292068,0.057452973,0.4551282
259,147,0.20639871,0.023474474,0.71428573
260,115,0.2968136,0.09321835,0.2521739
261,324,0.2735604,0.06965239,0.4074074
262,256,0.22411808,0.057581,0.4453125
263,323,0.3564692,0.12501375,0.19814241
264,303,0.26752654,0.041686058,0.56765676
265,217,0.3251158,0.09597233,0.29953918
266,238,0.28607625,0.0680456,0.40756303
267,301,0.27123055,0.053877737,0.47508305
268,502,0.27327853,0.05699536,0.45019922
269,280,0.20939806,0.027888654,0.6964286
270,193,0.24478358,0.04366363,0.5751295
271,316,0.3212953,0.08356176,0.35443038
272,210,0.25843656,0.072143525,0.37619048
273,383,0.3080726,0.065561794,0.3994778
274,150,0.23331791,0.035973586,0.6066667
275,332,0.24364045,0.06839105,0.36746988
276,339,0.34521946,0.11094569,0.24188791
277,299,0.29628593,0.066347055,0.41137123
278,192,0.26874137,0.047905862,0.5260417
279,346,0.25466985,0.059385523,0.44508672
280,157,0.21251547,0.041850243,0.58598727
281,251,0.2306443,0.045123145,0.5418327
282,186,0.23238906,0.030912137,0.6505376
283,231,0.23404053,0.038091216,0.58441556
284,214,0.23651686,0.040465787,0.57009345
285,236,0.25722325,0.059183143,0.4279661
286,481,0.2965562,0.08509829,0.3180873
287,345,0.27833772,0.05227735,0.47826087
288,173,0.21098225,0.03462272,0.63583815
289,373,0.3560562,0.10210947,0.2627346
290,193,0.24475801,0.048472755,0.5181347
291,363,0.30345362,0.07518034,0.38292012
292,281,0.2798645,0.060094837,0.430605
293,284,0.21223442,0.042263042,0.5915493
294,213,0.26226082,0.08440837,0.26760563
295,176,0.22197998,0.032750927,0.6363636
296,233,0.22162537,0.04445101,0.5493562
297,111,0.22286102,0.035988264,0.6576577
298,174,0.2573744,0.07494457,0.28735632
299,290,0.25784868,0.05174053,0.48965517
300,262,0.26320052,0.06640017,0.43129772
301,108,0.24427594,0.043716718,0.5555556
302,301,0.31324562,0.1117862,0.27242523
